idx,query,site_or_store,type,notes,status_code,latency_ms,top_names,top_categories,top_ids,raw_results_count,error,judgement
1,ма,Store A,open,Mobile keystroke for butter/oil,200,227.0,Чай листовой матча «Ahmad» 75г | Чай листовой матча «Ahmad» 90г | Мармелад жевательный sour «Happy Llama» 150г | Чай листовой матча «Ahmad» 250г | Мармелад жевательный ягодный «Happy Llama» 90г,Кофе и чай | Кофе и чай | Кондитерские изделия | Кофе и чай | Кондитерские изделия,P0207 | P0461 | P0755 | P0474 | P0670,10,,
2,йогурт гр,Store A,open,Partial multi-word,200,239.8,Йогурт греческий черника «Teos» 900г | Йогурт греческий черника «Teos» 140г | Йогурт греческий персик «Teos» 900г | Йогурт греческий натуральный «Teos» 150г | Йогурт греческий черника «Mediterran» 140г,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0726 | P0304 | P0284 | P0921 | P0012,10,,
3,bon pa,Store A,open,Foreign brand transliteration,200,119.0,Шоколад премиальный молочный «Bon Paris» 90г | Мармелад жевательный sour «Bon Paris» 90г | Мармелад жевательный sour «Bon Paris» 150г | Мармелад жевательный кола «Bon Paris» 150г | Шоколад премиальный 70% «Bon Paris» 90г,Кондитерские изделия | Кондитерские изделия | Кондитерские изделия | Кондитерские изделия | Кондитерские изделия,P0330 | P0638 | P0581 | P0917 | P0894,10,,
4,холс,Store B,open,Brand typed in Cyrillic,200,82.9,Лампа LED холодный «BrightHome» 4шт | Лампа LED холодный «EcoLight» 1шт | Лампа LED холодный «EcoLight» 4шт | Лампа LED холодный «EcoLight» 4шт,Хозяйственные товары | Хозяйственные товары | Хозяйственные товары | Хозяйственные товары,P0540 | P0973 | P0427 | P0557,4,,
5,крем для рук,Store B,open,Full phrase but should tolerate prefixes,200,290.0,Крем для рук питательный «Atelier Skin» 50мл | Крем для рук питательный «Atelier Skin» 100мл | Крем для рук коллаген «Atelier Skin» 50мл | Крем для рук коллаген «Atelier Skin» 75мл | Крем для рук питательный «Herbal Line» 75мл,Косметика и гигиена | Косметика и гигиена | Косметика и гигиена | Косметика и гигиена | Косметика и гигиена,P0539 | P0983 | P0130 | P0923 | P0558,10,,
6,масло раст 10л,Store C,open,B2B volume intent,200,337.7,Масло подсолнечное premium «Helio» 10000мл | Масло подсолнечное premium «Helio» 10000мл | Масло подсолнечное для HoReCa «Южное» 5000мл | Масло подсолнечное premium «Rosa» 10000мл | Масло подсолнечное premium «Южное» 900мл,Бакалея | Бакалея | Бакалея | Бакалея | Бакалея,P0150 | P0896 | P0423 | P0491 | P0046,10,,
7,кар тофель,Store D,open,Broken spacing,200,274.2,Шоколад премиальный с карамелью «Nordic Choco» 200г | Шоколад премиальный с карамелью «Nordic Choco» 80г | Кофе капсулы lungo «BaristaPro» 20капс. | Кофе капсулы lungo «BaristaPro» 30капс. | Кофе капсулы lungo «Caffitaly» 10капс.,Кондитерские изделия | Кондитерские изделия | Кофе и чай | Кофе и чай | Кофе и чай,P0379 | P0388 | P0600 | P0269 | P0623,10,,
8,xfq,Store E,open,Wrong keyboard layout for чай,200,70.6,Чай листовой матча «Ahmad» 75г | Чай листовой матча «Ahmad» 90г | Чай листовой матча «Ahmad» 250г | Чай листовой улун «Ahmad» 90г | Чай листовой улун «Ahmad» 250г,Кофе и чай | Кофе и чай | Кофе и чай | Кофе и чай | Кофе и чай,P0207 | P0461 | P0474 | P0551 | P0276,10,,
9,adapter usb c,Store E,open,English technical query,200,434.5,Кабель USB-C 1м «VoltEdge» 1шт | Кабель USB-C 1м «TechNode» 1шт | Кабель USB-C 2м «TechNode» 1шт | Кабель USB-C PD 100W «VoltEdge» 1шт | Кабель USB-C PD 100W «VoltEdge» 1шт,Электроника | Электроника | Электроника | Электроника | Электроника,P0093 | P0981 | P0136 | P0386 | P0919,10,,
10,pr,Store F,open,Wine prefix (prosecco/premium),200,43.7,Вино игристое prosecco «Prosecco Alto» 1500мл | Вино игристое prosecco «Prosecco Alto» 750мл | Вино игристое prosecco «Premium Cellar» 1500мл | Фольга алюминиевая professional «ChefPro» 1шт | Вино игристое prosecco «Premium Cellar» 750мл,Алкоголь | Алкоголь | Алкоголь | Хозяйственные товары | Алкоголь,P0110 | P0183 | P0666 | P0414 | P0546,10,,
