query,site,type,notes,top_1,top_1_score,top_2,top_2_score,top_3,top_3_score,latency_ms,precision_at_1,precision_at_3,precision_at_5,coverage_any,coverage_relevant,relevant_in_top_k,judgement
йогурт греческий,Store A,hidden,Full word should still trigger prefix analyzer,Йогурт греческий черника «Teos» 140г,1.00,Йогурт греческий персик «Teos» 900г,1.00,Йогурт греческий натуральный «Mediterran» 170г,1.00,40.04,1.00,1.00,1.00,1,1,5,strong
lay chips,Store B,hidden,English brand typed loosely,,,,,,,28.35,0.00,0.00,0.00,0,0,0,needs_review
масло сливочное крестьян,Store D,hidden,Long tail prefix,Масло сливочное крестьянское «Северное поле» 225г,1.00,Масло сливочное крестьянское «Alpine Meadow» 1кг,0.99,Масло сливочное крестьянское «Alpine Meadow» 225г,0.99,51.40,1.00,1.00,1.00,1,1,5,strong
санпел,Store F,hidden,Aggressive truncation,Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл,0.70,Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл,0.70,Вино игристое sanpellegrino spritz «Mosel Craft» 1500мл,0.70,32.91,0.00,0.00,0.00,1,0,0,needs_review
xfqyfz сервиз,Store E,hidden,Mixed layout + second word,,,,,,,31.03,0.00,0.00,0.00,0,0,0,needs_review
cheddar 5kg,Store C,hidden,B2B cheese,Сыр чеддер mild «Cheddar Club» 5кг,1.00,Сыр чеддер mild «Cheddar Club» 5кг,1.00,Сыр чеддер mild «Cheddar Club» 5кг,1.00,35.78,1.00,1.00,1.00,1,1,5,strong
fris cat adult,Store C,hidden,Pet food brand,Корм для кошек сухой adult «CatCraft» 1500г,0.99,Корм для кошек сухой indoor «FrisCat» 400г,0.79,Корм для кошек сухой hairball «FrisCat» 5кг,0.77,39.43,1.00,0.33,0.20,1,1,1,ok
прокладки ночные,Store D,hidden,Hygiene category,Подгузники детские ночные «PampKids» 96шт,0.70,Подгузники детские ночные «EcoBaby» 96шт,0.70,Подгузники детские ночные «Huggsy» 40шт,0.70,33.65,1.00,1.00,1.00,1,1,4,strong
масло растительное horeca,Store C,hidden,Industry keyword,Масло подсолнечное для HoReCa «Южное» 5000мл,0.92,Рыба минтай блок HoReCa «HoReCaFish» 10кг,0.70,Сахар-песок 5кг «HoReCa» 900г,0.63,53.93,1.00,0.33,0.20,1,1,1,ok
филе индейки 5кг,Store A,hidden,Bulk poultry,Филе грудки индейки HoReCa «FarmLine» 5кг,0.70,Филе грудки индейки охлажденное «ProteinPro» 5кг,0.70,Филе грудки индейки в маринаде «ProteinPro» 5кг,0.70,33.15,1.00,1.00,1.00,1,1,5,strong
памперсы размер 3 night,Store D,hidden,Mixed language,Подгузники детские размер 3 «EcoBaby» 60шт,0.70,Подгузники детские размер 2 «Huggsy» 96шт,0.70,Подгузники детские размер 2 «PampKids» 32шт,0.70,38.74,0.00,0.00,0.00,1,0,0,needs_review
adapter type c gan,Store E,hidden,Technical spec,Адаптер USB-C gan «VoltEdge» 1шт,1.00,Адаптер USB-C gan «VoltEdge» 1шт,1.00,Адаптер USB-C gan «VoltEdge» 1шт,1.00,36.28,0.00,0.00,0.00,1,0,0,needs_review
power bank wireless,Store E,hidden,Accessory variant,Power Bank wireless «VoltEdge» 1шт,1.00,Power Bank wireless «VoltEdge» 1шт,1.00,Power Bank wireless «VoltEdge» 1шт,1.00,33.44,1.00,1.00,1.00,1,1,5,strong
riesling mosel 1.5l,Store F,hidden,Numeric suffix,Вино игристое riesling mosel «Mosel Craft» 1500мл,0.97,Вино игристое riesling mosel «Mosel Craft» 750мл,0.69,Вино игристое riesling mosel «Rieslinghaus» 1500мл,0.67,30.13,1.00,1.00,1.00,1,1,5,strong
prosc ros,Store F,hidden,Severely truncated,Масло подсолнечное для HoReCa «Rosa» 3000мл,0.70,Масло подсолнечное premium «Rosa» 10000мл,0.70,Масло подсолнечное premium «Rosa» 500мл,0.70,29.92,1.00,1.00,1.00,1,1,5,strong
джин гараж грейп,Store F,hidden,Cyrillic spelling of foreign brand,Джин премиальный botanical «Garage Barrel» 500мл,0.76,Газированный напиток грейпфрут «Citrico» 1.5л,0.70,Газированный напиток грейпфрут «Fresh Bar» 500мл,0.69,32.71,0.00,0.00,0.00,1,0,0,needs_review
