query,site,type,notes,top_1,top_1_score,top_2,top_2_score,top_3,top_3_score,latency_ms,precision_at_1,precision_at_3,precision_at_5,coverage_any,coverage_relevant,relevant_in_top_k,judgement
ма,Store A,open,Mobile keystroke for butter/oil,Полотенца бумажные эко «MaxiRoll» 2шт,0.70,Полотенца бумажные кухонные «MaxiRoll» 2шт,0.70,Полотенца бумажные эко «MaxiRoll» 8шт,0.70,69.23,0.00,0.00,0.00,1,0,0,needs_review
йогурт гр,Store A,open,Partial multi-word,Йогурт греческий черника «Teos» 140г,1.00,Йогурт греческий персик «Teos» 900г,1.00,Йогурт греческий черника «Mediterran» 140г,0.99,43.09,1.00,1.00,1.00,1,1,5,strong
bon pa,Store A,open,Foreign brand transliteration,Мармелад жевательный ягодный «Bon Paris» 75г,0.70,Шоколад премиальный молочный «Bon Paris» 90г,0.70,Мармелад жевательный sour «Bon Paris» 150г,0.70,34.65,1.00,1.00,1.00,1,1,5,strong
холс,Store B,open,Brand typed in Cyrillic,,,,,,,34.47,0.00,0.00,0.00,0,0,0,needs_review
крем для рук,Store B,open,Full phrase but should tolerate prefixes,Крем для рук спа «Herbal Line» 75мл,1.00,Крем для рук питательный «Herbal Line» 75мл,0.99,Крем для рук коллаген «Herbal Line» 100мл,0.99,43.28,1.00,1.00,1.00,1,1,5,strong
масло раст 10л,Store C,open,B2B volume intent,Масло подсолнечное для HoReCa «Южное» 5000мл,0.97,Масло подсолнечное premium «Helio» 10000мл,0.70,Масло подсолнечное premium «Rosa» 10000мл,0.70,40.25,0.00,0.00,0.00,1,0,0,needs_review
кар тофель,Store D,open,Broken spacing,Шоколад премиальный с карамелью «Nordic Choco» 200г,0.70,Шоколад премиальный с карамелью «Nordic Choco» 80г,0.70,,,34.61,1.00,1.00,1.00,1,1,2,strong
xfq,Store E,open,Wrong keyboard layout for чай,Чай листовой улун «Ahmad» 250г,1.00,Чай листовой улун «Ahmad» 90г,1.00,Чай листовой матча «Ahmad» 250г,1.00,34.85,0.00,0.00,0.00,1,0,0,needs_review
adapter usb c,Store E,open,English technical query,Кабель USB-C 1м «VoltEdge» 1шт,1.00,Адаптер USB-C 35W «TechNode» 1шт,0.99,Адаптер USB-C 65W «ChargeLab» 1шт,0.70,40.50,1.00,1.00,1.00,1,1,5,strong
pr,Store F,open,Wine prefix (prosecco/premium),Вино игристое prosecco «Prosecco Alto» 1500мл,0.70,Вино игристое prosecco «Prosecco Alto» 750мл,0.70,Вино игристое prosecco «Premium Cellar» 750мл,0.70,36.27,1.00,1.00,1.00,1,1,5,strong
riesling mos,Store F,open,Region-specific wine,Вино игристое riesling mosel «Mosel Craft» 1500мл,0.70,Вино игристое riesling mosel «Mosel Craft» 750мл,0.70,Вино игристое riesling mosel «Rieslinghaus» 750мл,0.67,38.33,1.00,1.00,1.00,1,1,5,strong
памперсы 3,Store D,open,Size constraint,Подгузники детские размер 2 «PampKids» 32шт,0.70,Подгузники детские размер 3 «EcoBaby» 32шт,0.70,Подгузники детские размер 2 «EcoBaby» 32шт,0.70,36.03,0.00,0.00,0.00,1,0,0,needs_review
масло сл,Store A,open,Two-letter stop,Масло сливочное премиум «Teos» 200г,1.00,Масло сливочное фермерское «Teos» 225г,1.00,Масло сливочное безлактозное «Teos» 1кг,1.00,38.36,1.00,1.00,1.00,1,1,5,strong
филе инд,Store A,open,Protein intent,Филе грудки индейки HoReCa «FarmLine» 5кг,0.70,Филе грудки индейки в маринаде «ProteinPro» 700г,0.70,Филе грудки индейки для стейков «ProteinPro» 700г,0.70,39.74,1.00,1.00,1.00,1,1,5,strong
teos,Store A,open,Brand prefix,Масло сливочное безлактозное «Teos» 1кг,0.70,Йогурт греческий персик «Teos» 900г,0.70,Йогурт греческий черника «Teos» 140г,0.70,33.86,1.00,1.00,1.00,1,1,5,strong
греч не,Store C,open,Cyrillic split,Крупа гречневая HoReCa «EcoBag» 15кг,0.70,Крупа гречневая HoReCa «EcoBag» 800г,0.70,Крупа гречневая HoReCa «EcoBag» 15кг,0.70,36.91,1.00,1.00,1.00,1,1,5,strong
prosecco ro,Store F,open,Latin multi-word,Вино игристое rose «Prosecco Alto» 1500мл,0.70,Вино игристое prosecco «Prosecco Alto» 1500мл,0.50,Вино игристое prosecco «Prosecco Alto» 750мл,0.50,36.77,1.00,1.00,0.60,1,1,3,strong
джин то,Store F,open,Cocktail ingredient,Масло оливковое Classico «La Toscana» 750мл,0.70,Масло оливковое для жарки «La Toscana» 250мл,0.70,Масло оливковое для салатов «La Toscana» 250мл,0.70,38.05,0.00,0.00,0.00,1,0,0,needs_review
хозяйст мыло,Store D,open,Household goods,Перчатки одноразовые l «SafeTouch» 200шт,0.70,Перчатки одноразовые l «SafeTouch» 200шт,0.70,Перчатки одноразовые m «Medico» 200шт,0.70,37.15,1.00,1.00,1.00,1,1,5,strong
power bank 20,Store E,open,Numeric suffix,Power Bank 20000mAh «PowerStack» 1шт,1.00,Power Bank 20000mAh «VoltEdge» 1шт,0.91,Power Bank slim «PowerStack» 1шт,0.79,39.98,1.00,1.00,1.00,1,1,5,strong
сыр гауда,Store C,open,Category + brand,Сыр гауда кусок «ChefPro» 2кг,0.99,Сыр гауда кусок «Nordic Cheese» 5кг,0.99,Сыр гауда кусок «Dutch Yard» 200г,0.98,38.67,1.00,1.00,1.00,1,1,5,strong
diap night,Store D,open,Latin shortcut for diapers,Подгузники детские ночные «PampKids» 96шт,0.99,Подгузники детские premium «Huggsy» 26шт,0.70,Подгузники детские для чувствительной кожи «Huggsy» 60шт,0.70,32.56,0.00,0.00,0.00,1,0,0,needs_review
cat adult,Store C,open,Pet food intent,Корм для кошек сухой adult «CatCraft» 1500г,1.00,Корм для кошек сухой sterilised «CatCraft» 5кг,0.70,Корм для кошек сухой indoor «CatCraft» 400г,0.70,39.72,1.00,1.00,1.00,1,1,5,strong
dog hypo,Store C,open,Hypoallergenic dog food,Корм для собак гипоаллергенный large «DogForce» 800г,1.00,Корм для собак гипоаллергенный large «DogForce» 5кг,1.00,Корм для собак гипоаллергенный medium «DogForce» 1500г,1.00,37.57,1.00,1.00,1.00,1,1,5,strong
san pelle,Store F,open,Sparkling water brand,Минеральная вода citrus «San Pellegrino» 1.5л,0.70,Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл,0.24,Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл,0.24,34.59,1.00,0.33,0.25,1,1,1,ok
посуд моющ,Store D,open,Abbreviated dish soap,Средство для мытья посуды для детской посуды «AllDish» 450мл,1.00,Средство для мытья посуды эко «AllDish» 1500мл,0.92,Средство для мытья посуды концентрат «BioClean» 1500мл,0.91,40.09,1.00,1.00,1.00,1,1,5,strong
лампа led е27,Store E,open,Mixed alphabet technical,Лампа LED E27 «Volt» 4шт,1.00,Лампа LED E27 «Volt» 4шт,1.00,Лампа LED E27 «EcoLight» 2шт,0.98,40.80,1.00,1.00,1.00,1,1,5,strong
мешки 120л,Store D,open,Trash bags with volume,,,,,,,29.64,0.00,0.00,0.00,0,0,0,needs_review
круп греч,Store C,open,Abbreviated grocery,Крупа гречневая ядрица «Русская крупа» 15кг,1.00,Крупа гречневая ядрица «Русская крупа» 1000г,1.00,Крупа гречневая ядрица «Русская крупа» 900г,0.99,39.40,1.00,1.00,1.00,1,1,5,strong
рыба фил,Store B,open,Frozen fish block,Рыба минтай блок филе «HoReCaFish» 10кг,1.00,Рыба минтай блок филе «HoReCaFish» 10кг,1.00,Рыба минтай блок филе «HoReCaFish» 5кг,1.00,34.65,1.00,1.00,0.80,1,1,4,strong
SUMMARY,,,,,,,,,,38.5,0.73,0.71,0.69,93.33%,73.33%,100,"Any: 93.3%, Rel: 73.3%, P@3: 0.71"
